order_id,customer_id,payment,order_date,delivery_date,delivery_time,customer_name,gender,age,home_address,zip_code,city,state,country,status,product_id,product_type,product_name,size,colour,price,quantity_x,description,sales_id,price_per_unit,quantity_y,total_price
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,218.0,Shirt,Chambray,L,orange,105.0,44.0,"A orange coloured, L sized, Chambray Shirt",0.0,106.0,2.0,212.0
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,481.0,Jacket,Puffer,S,indigo,110.0,62.0,"A indigo coloured, S sized, Puffer Jacket",1.0,118.0,1.0,118.0
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,2.0,Shirt,Oxford Cloth,M,red,114.0,54.0,"A red coloured, M sized, Oxford Cloth Shirt",2.0,96.0,3.0,288.0
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,1002.0,Trousers,Wool,M,blue,111.0,52.0,"A blue coloured, M sized, Wool Trousers",3.0,106.0,2.0,212.0
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,691.0,Jacket,Parka,S,indigo,119.0,53.0,"A indigo coloured, S sized, Parka Jacket",4.0,113.0,3.0,339.0
1,64,30811,2021-08-30,2021-09-24,25.0,fulan 64,Prefer not to say,75.0,4927 Alice MeadowApt. 960,7787.0,Sanfordborough,South Australia,Australia,Active,981.0,Trousers,Wool,S,red,111.0,65.0,"A red coloured, S sized, Wool Trousers",5.0,106.0,3.0,318.0
2,473,50490,2021-02-03,2021-02-13,10.0,fulan 473,Male,61.0,531 Schmitt BoulevardApt. 010,1744.0,Annaton,South Australia,Australia,Active,915.0,Trousers,Drawstring,XS,orange,104.0,41.0,"A orange coloured, XS sized, Drawstring Trousers",6.0,96.0,1.0,96.0
2,473,50490,2021-02-03,2021-02-13,10.0,fulan 473,Male,61.0,531 Schmitt BoulevardApt. 010,1744.0,Annaton,South Australia,Australia,Active,686.0,Jacket,Parka,S,blue,119.0,72.0,"A blue coloured, S sized, Parka Jacket",7.0,113.0,1.0,113.0
2,473,50490,2021-02-03,2021-02-13,10.0,fulan 473,Male,61.0,531 Schmitt BoulevardApt. 010,1744.0,Annaton,South Australia,Australia,Active,1091.0,Trousers,Cropped,S,orange,99.0,78.0,"A orange coloured, S sized, Cropped Trousers",8.0,115.0,3.0,345.0
2,473,50490,2021-02-03,2021-02-13,10.0,fulan 473,Male,61.0,531 Schmitt BoulevardApt. 010,1744.0,Annaton,South Australia,Australia,Active,1196.0,Trousers,Pleated,S,orange,90.0,72.0,"A orange coloured, S sized, Pleated Trousers",9.0,105.0,1.0,105.0
